Crop,Variety
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),MAUS-162
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),NRC130
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),MAUS-162
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),AMS-MB-5-18(SUVARNSOYA)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),AMS-MB-5-18(SUVARNSOYA)
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),NRC130
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),AMS-MB-5-18(SUVARNSOYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),AMS-MB-5-18(SUVARNSOYA)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-MB-5-18(SUVARNSOYA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-992(PHULEDURVA)
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-992(PHULEDURVA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-992(PHULEDURVA)
SOYBEAN (BHAT),AMS-MB-5-18(SUVARNSOYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),AMS-100-39(PDKV-AMBA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),AMS-MB-5-18(SUVARNSOYA)
PIGEON PEA (RED GRAM/ARHAR/TUR),BDN-716
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-992(PHULEDURVA)
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),JS-2034
SOYBEAN (BHAT),JS-2034
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),JS-2034
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),AMS-MB-5-18(SUVARNSOYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-MB-5-18(SUVARNSOYA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-992(PHULEDURVA)
SOYBEAN (BHAT),AMS-MB-5-18(SUVARNSOYA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
PIGEON PEA (RED GRAM/ARHAR/TUR),Bheema (GRG-152)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-612
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),MAUS-158
PIGEON PEA (RED GRAM/ARHAR/TUR),Bheema (GRG-152)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),JS-9305
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),JS-335
PIGEON PEA (RED GRAM/ARHAR/TUR),Bheema (GRG-152)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
PIGEON PEA (RED GRAM/ARHAR/TUR),Bheema (GRG-152)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),AMS-1001(PDKVYELLOWGOLD)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-992(PHULEDURVA)
SOYBEAN (BHAT),KDS-753(PHULEKIMAYA)
SOYBEAN (BHAT),KDS-726(PHULESANGAM)
SOYBEAN (BHAT),KDS-992(PHULEDURVA)
SOYBEAN (BHAT),JS-335
SOYBEAN (BHAT),MAUS-158
SOYBEAN (BHAT),KDS-992(PHULEDURVA)
